Model,Horizon,RMSE,MAE,MAPE,R2
DLinear,48,0.018199505,0.00870552,0.11903791455551982,0.9846844673156738
DLinear,96,0.03151068,0.01707969,0.23338880855590105,0.9538503885269165
DLinear,168,0.044404533,0.02691045,0.3678258275613189,0.9075777530670166
NLinear,6,0.0032703583,0.002471144,0.03370883932802826,0.9995079636573792
NLinear,12,0.0034831427,0.0026243136,0.03579590702429414,0.999441385269165
NLinear,24,0.0073153726,0.0043758643,0.059837644221261144,0.9975321888923645
NLinear,48,0.017023416,0.009142354,0.12504924088716507,0.9865999221801758
NLinear,96,0.031801607,0.018334648,0.2504948992282152,0.9529942870140076
NLinear,168,0.047934078,0.03031628,0.4139003809541464,0.8923012614250183
