Model,Horizon,RMSE,MAE,R2
DLinear,6,8.047922036967623,5.510287893009559,0.9744084196625746
DLinear,12,8.77988272070719,6.0548554932208365,0.9695574320323073
DLinear,24,10.335762228463,7.290787186790922,0.9578393623808648
DLinear,48,11.716912283717285,8.2693214938049,0.9458693766468692
DLinear,96,14.091161903569908,10.041605083207958,0.9218023982411099
DLinear,168,17.030367416606683,12.102146173414912,0.8856910301656624
NLinear,6,7.736439885836056,5.110063236788523,0.9763510482700423
NLinear,12,8.513213014255738,5.68621575510364,0.9713786011761381
NLinear,24,9.613779987108236,6.455984976146981,0.9635237227134471
NLinear,48,10.96587414509026,7.45872858865419,0.9525863722840858
NLinear,96,13.542468366977738,9.40704971401877,0.927773680646333
NLinear,168,16.581779592681983,11.686292714192668,0.8916336234969692
