Model,Training_Time,Inference_Time
NLinear,12.012495756149292,0.004996235867230116
DLinear,14.036927461624146,0.009991350949099812
CALinear,19.82451367378235,0.010707808123813186
CALinear,19.220043659210205,0.012825722832890709
CALinear,19.363173484802246,0.01063359155277567
CALinear,19.964527130126953,0.012505480453607753
Ablation-Baseline,10.22756028175354,0.0
Ablation-+Features,18.33348560333252,0.0
Ablation-+EventLoss,11.903654098510742,0.0
Ablation-Full,18.976947784423828,0.0
Alpha-1.0,19.64636254310608,0.0
Alpha-3.0,19.06466054916382,0.0
Alpha-5.0,19.65994954109192,0.0
NLinear,11.894110679626465,0.004973970339697838
DLinear,14.118296146392822,0.009830831124204983
CALinear,19.71907615661621,0.012045464060919728
